ar-SA,Arabic (العربية)
az-Latn-AZ,Azerbaijani (Latin) (Azərbaycan dili)
be-BY,Belarusian (Беларуская)
bg-BG,Bulgarian (Български)
ca-ES,Catalan (Català)
cs-CZ,Czech (Čeština)
da-DK,Danish (Dansk)
de-DE,German (Deutsch)
el-GR,Greek (Ελληνικά)
en-US,English(American)
et-EE,Estonian (Eesti)
eu-ES,Basque (Basque) (Euskara)
es-ES,Spanish (Español)
fa-IR,Persian (فارسى)
fi-FI,Finnish (Suomi)
fil-PH,Filipino (Filipino)
fr-FR,French (Français)
gl-ES,Galician (Galego)
he-IL,Hebrew (עברית)
hi-IN,Hindi (हिंदी)
hr-HR,Croatian (Hrvatski)
hu-HU,Hungarian (Magyar)
id-ID,Indonesian (Bahasa Indonesia)
it-IT,Italian (Italiano)
ja-JP,Japanese (日本語)
kk-KZ,Kazakh (Қазақ)
ko-KR,Korean (한국어)
lt-LT,Lithuanian (Lietuvių)
lv-LV,Latvian (Latviešu)
mk-MK,Macedonian (македонски)
ms-MY,Malay (Bahasa Melayu)
nb-NO,Norwegian (Bokmal) (Norsk (bokmål))
nl-NL,Dutch (Nederlands)
pl-PL,Polish (Polski)
pt-BR,Portuguese - Brazil (Português (Brasil))
pt-PT,Portuguese - Portugal (Português (Portugal))
ro-RO,Romanian (Română)
ru-RU,Russian (Русский)
sl-SI,Slovenian (Slovenski)
sk-SK,Slovak (Slovenčina)
sq-AL,Albanian (Shqip)
sr-Cyrl-CS,Serbian (Cyrillic) (Српски (ћирилица))
sr-Latn-CS,Serbian (Latin) (Srpski (latinica))
sv-SE,Swedish (Svenska)
th-TH,Thai (ไทย)
tr-TR,Turkish (Türkçe)
uk-UA,Ukrainian (Українська)
uz-Latn-UZ,Uzbek (Latin) (O’zbekcha)
vi-VN,Vietnamese (Tiếng Việt)
zh-CN,Chinese - Simplified (中文(简体))
zh-TW,Chinese - Traditional (繁體中文)
