Total found by value, Total not found by value, Total not changed
8,1,35

Not found deatails
sourceMappingKey,Property,Value
main_pre_login_button,text,"Email, phone, or Skype name"

Not changed deatails
sourceMappingKey,Property,Value
login_window_sign_in_button,xpath,"//*[@id=""idSIButton9""]"
main_application,xpath,"/html/body/div"
main_pre_login_button,xpath,"//*[@id='i0116']"
main_pre_login_button,id,"i0116"
main_submit,xpath,"//*[@id='idSIButton9']"
main_submit,id,"idSIButton9"
first_time_username,id,"com.microsoft.skype.android.s4l.df:id/input_email"
first_time_submit,id,"com.microsoft.skype.android.s4l.df:id/button_login"
main_window_action_menu,xpath,"/html/body/div/div/div/div/div/div/div/div/div[1]/div[2]/div/button"
main_window_search,text,""
contact_window_search,xpath,"//*[@placeholder='Search']"
contact_window_search_cancel,xpath,"//div[contains(text(), 'Cancel')]"
call_window_menu_toggle,xpath,"/html/body/div/div/div/div/div/div/div/div/div[2]/div"
main_window_hightlights_tab,xpath,"/html/body/div/div/div/div/div/div/div/div[1]/div[1]/div[2]/button[1]/div/div"
main_window_recents_tab,xpath,"//div[text()='Chats' and contains(@style,'color: rgb(255, 255, 255)')]"
main_window_new_conversation_name_group,xpath,"//input[@placeholder='Chat Name']"
main_window_new_conversation_user_search_input,xpath,"//input[@placeholder='Search Skype']"
main_window_new_group_conversation_user_search,xpath,"//div[contains(text(),'Search People and Bots')]"
main_window_new_group_conversation_user_search_input,xpath,"//input[@placeholder='Search People and Bots']"
main_window_profile_button,text,""
main_window_profile_button,xpath,"/html/body/div/div/div[1]/div/div/div/div/div[1]/div[1]/div[1]/button/div[2]/div"
profile_window_my_highlights,xpath,"/html/body/div/div/div/div[2]/div[2]/div[1]/div/div/div[2]/div/div[1]/div/div[1]/div[1]/div/div/div/div/div"
profile_window_my_profile,xpath,"/html/body/div/div/div[2]/div/div/div/div/div/div[7]/button[2]/div"
profile_window_settings,xpath,"/html/body/div/div/div[2]/div/div/div/div/div/div[4]/div[1]/div[2]"
profile_window_settings_do_not_disturb,xpath,"(//div[text()='Do not disturb'])/following-sibling::div[1]"
profile_window_user_settings,xpath,"//div[text()='Manage Profile']"
profile_window_signout_confirm,xpath,"//button[not(@title)]//div[contains(text(),'Log out')]"
profile_window_profile_picture,text,""
profile_window_profile_picture,xpath,"/html/body/div/div/div[2]/div/div[2]/div/div/div[2]/button"
profile_window_empty_profile_picture,text,""
profile_window_empty_profile_picture,xpath,"/html/body/div/div/div[2]/div/div[2]/div/div/div[2]/div[1]"
chat_window_message,xpath,"//textarea[@placeholder='Type a message here']"
chat_window_send_message,text,""
chat_window_send_message,xpath,"/html/body/div/div/div/div/div/div/div/div[2]/div[1]/div[2]/div/div[1]/div/div/div[2]/div/div/div/div/div/div/div[2]/button"
capture_window_captured_picture_add_text_change_position,text,""
