"Code";"en - English";"et - estonian";"zh-hans - Simplified Chinese";"zh-hant - Traditional Chinese";"fr - French";"de - German";"ja - Japanese";"es - Spanish";"sv - Swedish";"pl - Polish";"pt - Portugese";"pt-BR - Portuguese (Brazil)";"ru - Russian";"ar - Arabic";"bg - Bulgarian";"cs - Czech";"da - Danish";"el - Greek";"fi - Finnish";"hu - Hungarian";"it - Italian";"he - Hebrew";"ko - Korean";"nl - Dutch";"no - Norwegian";"ro - Romanian";"tr - Turkish";"lt - Lithuanian";"lv - Latvian";"uk - Ukrainian ";"th - Thai";"id - Indonesian ";"vi - Vietnamese ";"ca - Catalan";"hr - Croatian";"sk - Slovak";"sl - Slovenian";"sr-Latn - Serbian (latin)";"hi - Hindi"
"ab";"Abkhazian";"abhaasia";"阿布哈西亚语";"亞布卡薩文";"Abkhazien";"Abchasisch";"アブハーズ語";"Abjasio";"Abchaziska";"Abchaski";"Abecásio";"Abkhazian";"Абхазский";"الأبخازية";"абхазки";"Abcházština";"Abkhasisk";"Aμπχαζικά";"Abhaasi";"Abház";"Abkhazian";"אבקאזית";"압하스어";"Abchazisch";"Abkhasisk";"Abhază";"Abazaca";"abchazų";"abhāzu";"Абхазька";"อับคาเซีย";"Abkhaz";"Tiếng Abkhazian";"Abkhaz";"abhaski";"abcházština";"abhazijščina";"Abhaski";"अब्खाज़ियन"
"aa";"Afar";"avaari";"阿法尔语";"阿法文";"Afar";"Afar";"アファル語";"Afar";"Afar";"Afar";"Afar";"Afar";"Афарский";"العفارية";"афар";"Afarština";"Afar";"Αφάρ";"Afaari";"Afar";"Afar";"אפרית";"아파르어";"Afar";"Afar";"Afar";"Afar Dili";"afarų";"afāru";"Афарська";"อะฟาร์";"Afar";"Tiếng Afar";"Àfar";"afarski";"afárčina";"afarščina";"Afarski";"अफ़ार"
"af";"Afrikaans";"afrikaani";"南非语";"南非荷蘭文";"Afrikaans";"Afrikaans";"アフリカーンス語";"Afrikáans";"Afrikaans";"Afrikaans";"Africânder";"Afrikaans";"Африкаанс";"الأفريكانية";"африканс";"Afrikánština";"Afrikaans";"Αφρικάανς";"Afrikaans";"Afrikaans";"Afrikaans";"אפריקנס";"아프리카어";"Afrikaans";"Afrikaans";"Afrikaans";"Afrikaner";"būrų";"afrikandu";"Африкаанс";"แอฟริกา";"Afrikans";"Tiếng Hà Lan ở Nam Phi";"Afrikaans";"afrikaans";"afrikánčina";"afrikanščina";"Afrikans";"अफ़्रीकान्स"
"sq";"Albanian";"albaania";"阿尔巴尼亚语";"阿爾巴尼亞文";"Albanais";"Albanisch";"アルバニア語";"Albanés";"Albanska";"Albański";"Albanês";"Albânico";"Албанский";"الألبانية";"албански";"Albánština";"Albansk";"Αλβανικά";"Albania";"Albán";"Albanese";"אלבנית";"알바니아어";"Albanees";"Albansk";"Albaneză";"Arnavutça";"albanų";"albāņu";"Албанська";"แอลเบเนีย";"Albania";"Tiếng An-ba-ni";"Albanès";"albanski";"albánčina";"albanščina";"Albanski";"अल्बानियाई"
"am";"Amharic";"amhaari";"阿姆哈拉语";"阿姆哈拉文";"Amharique";"Amharisch";"アムハラ語";"Amárico";"Amhariska";"Amharski";"Amárico";"Amharic";"Амхарский";"الأمهرية";"амхарски";"Amharština";"Amharisk";"Αμαρικά";"Amhara";"Amhári";"Amarico";"אמהרית";"암하라어";"Amharisch";"Amharisk";"Amharică";"Amhara Dili";"amharų";"amharu";"Амхарська";"อัมฮาริก";"Amhara";"Tiếng Amharic";"Amhàric";"amharski";"amharčina";"amharščina";"Amharski";"अमहरिक"
"ar";"Arabic";"araabia";"阿拉伯语";"阿拉伯文";"Arabe";"Arabisch";"アラビア語";"Árabe";"Arabiska";"Arabski";"Árabe";"Árabe";"Арабский";"العربية";"арабски";"Arabština";"Arabisk";"Αραβικά";"Arabia";"Arab";"Arabo";"ערבית";"아라비아어";"Arabisch";"Arabisk";"Arabă";"Arapça";"arabų";"arābu";"Арабська";"อารบิก";"Arab";"Tiếng Ả-rập";"Àrab";"arapski";"arabčina";"arabščina";"Arapski";"अरबी"
"hy";"Armenian";"armeenia";"亚美尼亚语";"亞美尼亞文";"Arménien";"Armenisch";"アルメニア語";"Armenio";"Armeniska";"Armeński";"Arménio";"Armênio";"Армянский";"الأرمينية";"арменски";"Arménština";"Armensk";"Αρμένικα";"Armenia";"Örmény";"Armeno";"ארמנית";"아르메니아어";"Armeens";"Armensk";"Armeană";"Ermenice";"armėnų";"armēņu";"Вірменська";"อาร์เมเนีย";"Armenia";"Tiếng Ác-mê-ni";"Armeni";"aramejski";"arménčina";"armenščina";"Jermenski";"अर्मेनियाई"
"as";"Assamese";"assami";"阿萨姆语";"阿薩姆文";"Assamais";"Assamesisch";"アッサム語";"Asamés";"Assamesiska";"Assamski";"Assamês";"Assamese";"Ассамский";"الآسامية";"асамски";"Asámština";"Assamesisk";"Ασαμέζικα";"Assami";"Asszámi";"Assamese";"אסמית";"아삼어";"Assamees";"Assamesisk";"Assameză";"Assamese Dili";"asamesų";"asamiešu";"Ассамська";"อัสสมี";"Assam";"Tiếng Assamese";"Assamès";"asamski";"asámčina";"asamščina";"Asamski";"असमी"
"ay";"Aymara";"aimara";"艾马拉语";"亞摩拉文";"Aïmara";"Aymara";"アイマラ語";"Aimara";"Aymara";"Ajmara";"Aimará";"Armeniano";"Аймара";"الأيمارا";"аймара";"Ajmarština";"Aymara";"Αζερμπαϊτζανικά";"Aimara";"Ajmara";"Aymara";"איימרית";"아이마라어";"Aymara";"Aymara";"Aimară";"Aymara Dili";"aimarų";"aimaru";"Аймара";"ไอมารา";"Aymara";"Tiếng Aymara";"Aimara";"ajmarski";"aymarčina";"ajmarščina";"Ajmarski";"आयमारा"
"az";"Azerbaijani";"aserbaidžaani";"阿塞拜疆语";"亞塞拜然文";"Azerbaïdjanais";"Aserbaidschanisch";"アゼルバイジャン語";"Azerbaiyano";"Azerbajdzjanska";"Azerbejdżański";"Azerbaijanês";"Azerbaijiano";"Азербайджанский";"الأذربيجانية";"азербайджански";"Azerbajdžánština";"Aserbadsjansk";"Αϋμάρα";"Azeri";"Azeri";"Azero";"אזרבייג'אנית";"아제르바이잔어";"Azerbeidzjaans";"Aserbajdsjansk";"Azeră";"Azerice";"azerbaidžaniečių";"azerbaidžāņu";"Азербайджанська";"อาเซอร์ไบจาน";"Azerbaijani";"Tiếng A-giéc-bai-gian";"Àzeri";"azerbajdžanski";"azerbajdžančina";"azerbajdžanščina";"Azerbejdžanski";"अज़रबेजानी"
